douban_film_id,title,page_number,rank_within_list,douban_rating,douban_votes,friend_rating,friend_rating_count,imdb_id
1298655,玛丽娅·布劳恩的婚姻 Die Ehe der Maria Braun,27,659,8.3,9058,7.8,22,tt0079095
1293168,礼帽 Top Hat,27,660,7.9,2748,7.1,7,tt0027125
1962586,哈拉 Xala,27,661,7.0,420,6.0,2,tt0073915
1293618,航海家 The Navigator,27,662,8.2,3242,8.0,9,tt0015163
1302770,阿基拉 Akira,27,663,8.5,97768,7.8,72,tt0094625
1292760,贵妇失踪记 The Lady Vanishes,27,664,8.1,34648,7.6,32,tt0030341
2278780,狂喜 Arrebato,27,665,7.7,646,8.7,3,tt0078797
1873535,千禧曼波,27,666,7.2,47615,7.4,61,tt0283283
3077739,预言者 Un prophète,27,667,7.6,18476,7.8,26,tt1235166
1293156,处女泉 Jungfrukällan,27,668,8.5,49825,8.3,48,tt0053976
4798707,爱 Amour,27,669,8.6,96348,8.7,66,tt1602620
1306730,钢琴教师 La pianiste,27,670,7.5,78973,8.1,43,tt0254686
1292994,开罗紫玫瑰 The Purple Rose of Cairo,27,671,8.8,64970,8.6,52,tt0089853
1293782,新科学怪人 Young Frankenstein,27,672,7.4,2384,7.0,6,tt0072431
1295148,小鹿斑比 Bambi,27,673,8.6,40964,8.6,13,tt0034492
2002721,寂静之光 Stellet licht,27,674,7.3,1324,7.2,10,tt0841925
1303358,富城 Fat City,27,675,7.8,585,8.4,5,tt0068575
1293841,倒扣的王牌 Ace in the Hole,28,676,8.7,19627,9.0,33,tt0043338
1302119,工作 Il Posto,28,677,8.3,3078,8.7,11,tt0055320
1291575,玩具总动员 Toy Story,28,678,8.6,410226,8.5,71,tt0114709
1291546,霸王别姬,28,679,9.6,2331907,9.4,123,tt0106332
1300756,幽灵与未亡人 The Ghost and Mrs. Muir,28,680,7.8,852,7.8,8,tt0039420
1298974,我心狂野 Wild at Heart,28,681,7.4,31923,7.4,38,tt0100935
1296835,青春年少 Rushmore,28,682,8.1,26127,7.8,40,tt0128445
1421292,夏日纪事 Chronique d'un été (Paris 1960),28,683,8.1,4343,8.0,24,tt0054745
1440407,入侵者 L'intrus,28,684,7.4,548,7.5,4,tt0422491
1294791,机器战警 RoboCop,28,685,7.8,49168,7.9,34,tt0093870
1291842,当哈利遇到莎莉 When Harry Met Sally...,28,686,8.3,155715,7.9,51,tt0098635
1295073,悲哀和怜悯 Le chagrin et la pitié,28,687,8.1,327,8.0,1,tt0066904
1293936,杀手 The Killing,28,688,8.6,38618,8.7,46,tt0049406
1292528,猜火车 Trainspotting,28,689,8.6,427695,8.6,89,tt0117951
1429116,土狼 Hyènes,28,690,7.4,214,7.0,4,tt0104467
1297127,史密斯先生到华盛顿 Mr. Smith Goes to Washington,28,691,8.5,13297,7.9,26,tt0031679
1307921,远方 Uzak,28,692,8.2,16689,8.6,31,tt0346094
10760030,绝美之城 La grande bellezza,28,693,8.2,63070,7.7,53,tt2358891
1300467,地方英雄 Local Hero,28,694,7.5,780,7.0,4,tt0085859
1419271,给我庇护 Gimme Shelter,28,695,8.3,1993,8.4,5,tt0065780
1300892,内陆惊魂 Wake in Fright,28,696,7.7,1292,8.7,6,tt0067541
1845260,有机体的秘密 W.R. - Misterije organizma,28,697,7.6,1950,8.0,8,tt0067958
1418714,安娜·玛格达丽娜·巴赫的编年史 Chronik der Anna Magdalena Bach,28,698,7.8,1741,8.7,9,tt0062804
1825702,七女人 7 Women,28,699,7.3,214,6.0,4,tt0060050
1297188,自由的幻影 Le fantôme de la liberté,28,700,8.5,18988,8.2,24,tt0071487
1291562,黑暗中的舞者 Dancer in the Dark,29,701,8.2,85245,7.7,56,tt0168629
1291992,末路狂花 Thelma & Louise,29,702,9.0,317241,8.9,84,tt0103074
3073875,鱼缸 Fish Tank,29,703,7.5,32867,7.9,31,tt1232776
1304665,X圣治 CURE キュア,29,704,8.2,24854,8.7,49,tt0123948
1303245,狂欢宴 The Party,29,705,6.9,679,8.0,4,tt0063415
1950330,罗马 Roma,29,706,8.2,151014,8.0,104,tt6155172
2078989,"四月三周两天 4 luni, 3 săptămâni și 2 zile",29,707,8.4,46096,8.8,69,tt1032846
1297264,武士兰士诺 Lancelot du Lac,29,708,7.5,2373,7.7,19,tt0071737
1302814,阿赫迈德王子历险记 Die Abenteuer des Prinzen Achmed,29,709,8.4,2123,7.7,6,tt0015532
1291990,爱在日落黄昏时 Before Sunset,29,710,8.9,625229,9.0,87,tt0381681
1303520,新浪潮 Nouvelle vague,29,711,7.7,864,8.3,7,tt0100274
1395036,推销员 Salesman,29,712,7.9,2471,7.7,7,tt0064921
1401513,各自逃生 Sauve qui peut (la vie),29,713,7.6,2498,8.1,14,tt0079854
1401905,圣山 La montaña sagrada,29,714,8.7,30022,7.8,24,tt0071615
10757577,卡罗尔 Carol,29,715,8.4,302551,7.7,82,tt2402927
1293047,郎心似铁 A Place in the Sun,29,716,7.6,5366,7.4,14,tt0043924
3070921,饥饿 Hunger,29,717,8.0,16532,8.0,26,tt0986233
1293556,阳光普照 The Sun Shines Bright,29,718,6.8,334,4.0,2,tt0046384
1298566,一夜狂欢 A Hard Day's Night,29,719,8.5,6115,7.8,13,tt0058182
1304641,红磨坊 Moulin Rouge!,29,720,7.8,141680,7.4,38,tt0203009
2264801,纸花 Kaagaz Ke Phool,29,721,7.9,203,8.0,1,tt0052954
1294761,大鸟和小鸟 Uccellacci e uccellini,29,722,7.8,2151,7.3,12,tt0061132
1292681,黑潮 Malcolm X,29,723,8.0,4857,9.0,6,tt0104797
1293150,宾虚 Ben-Hur,29,724,8.7,38954,8.1,27,tt0052618
2567883,死神安东尼奥 O Dragão da Maldade contra o Santo Guerreiro,29,725,7.1,285,9.0,2,tt0064256
1303654,杀人短片 Krótki film o zabijaniu,30,726,8.2,17457,7.9,36,tt0095468
2043434,大内幕 The Big Heat,30,727,7.7,2640,8.0,15,tt0045555
1303324,求婚妙术 A New Leaf,30,728,7.4,567,6.0,2,tt0067482
1299628,马戏团 The Circus,30,729,9.2,26951,8.9,32,tt0018773
1902590,这样或那样 De cierta manera,30,730,7.8,124,7.0,2,tt0075915
1292925,伴我同行 Stand by Me,30,731,8.9,119460,8.5,41,tt0092005
1307580,布劳涅森林的女人们 Les dames du Bois de Boulogne,30,732,7.4,2789,7.2,16,tt0037630
1294720,年少轻狂 Dazed and Confused,30,733,7.2,5613,7.1,11,tt0106677
1303568,慕理小镇 Moonfleet,30,734,6.5,390,6.0,5,tt0048387
1421822,提提卡失序记事 Titicut Follies,30,735,8.3,2540,9.2,20,tt0062374
1775077,爱情无计 Design for Living,30,736,7.6,2029,7.2,12,tt0023940
1449829,玉女奇男 The Bad and the Beautiful,30,737,7.6,831,6.8,5,tt0044391
1296679,红胡子 赤ひげ,30,738,8.9,19398,8.0,21,tt0058888
1293428,呐喊 Il grido,30,739,8.0,4118,7.7,20,tt0050458
1297367,公主艳史 Love Me Tonight,30,740,7.2,399,6.0,2,tt0023158
1293073,变蝇人 The Fly,30,741,7.4,47059,8.1,33,tt0091064
1303333,你妈妈也一样 Y tu mamá también,30,742,7.5,24109,7.9,33,tt0245574
1441365,孟加拉虎 Der Tiger von Eschnapur,30,743,7.1,391,5.0,2,tt0052295
1292878,"纽约，纽约 New York, New York",30,744,7.9,3432,6.7,11,tt0076451
1754975,天堂魅影 Phantom of the Paradise,30,745,7.8,1767,8.4,14,tt0071994
6030619,噢，太阳 Soleil Ô,30,746,7.7,191,7.0,4,tt0062285
1308082,前进，神军！ ゆきゆきて、神軍,30,747,8.7,1960,8.7,14,tt0092963
1300961,野孩子 L'enfant sauvage,30,748,7.7,2342,7.7,12,tt0064285
1302252,白痴 Idioterne,30,749,7.4,4818,7.6,20,tt0154421
1303357,纸月亮 Paper Moon,30,750,8.5,18814,8.2,16,tt0070510
3205624,社交网络 The Social Network,31,751,8.2,487756,8.7,107,tt1285016
1306186,意志的胜利 Triumph des Willens,31,752,8.5,18931,8.5,25,tt0025913
1293590,欲望号街车 A Streetcar Named Desire,31,753,8.4,52393,8.2,35,tt0044081
3024645,笔记·日志·素描 Diaries Notes and Sketches,31,754,8.7,821,9.4,7,tt0196499
1303080,"消防员舞会 Horí, má panenko",31,755,8.0,5211,8.2,32,tt0061781
1303089,圣母街上的大人物 I soliti ignoti,31,756,8.2,1623,8.3,6,tt0052216
1966826,硝烟中诞生 Born in Flames,31,757,7.6,273,6.0,1,tt0085267
1293276,抚养亚利桑纳 Raising Arizona,31,758,7.4,12217,7.1,23,tt0093822
1419942,新世界 The New World,31,759,7.1,4519,7.8,19,tt0402399
1302262,要塞风云 Fort Apache,31,760,7.2,913,8.0,3,tt0040369
2368758,金线 Subarnarekha,31,761,7.3,130,,0,tt0056537
1304447,记忆碎片 Memento,31,762,8.7,650184,8.4,90,tt0209144
1296600,绕道 Detour,31,763,7.5,1684,8.0,9,tt0037638
1296992,洛丽塔 Lolita,31,764,7.8,111141,7.6,57,tt0056193
1301214,不羁的美女 La belle noiseuse,31,765,7.5,5382,8.3,13,tt0101428
1466416,热血造物 Flaming Creatures,31,766,7.1,432,6.0,3,tt0054880
1422193,穿制服的女孩 Mädchen in Uniform,31,767,8.4,4540,6.3,6,tt0022183
1293076,国王迷 The Man Who Would Be King,31,768,7.7,853,8.0,4,tt0073341
2061897,大地的年纪 A Idade da Terra,31,769,7.7,338,10.0,1,tt0080910
1302108,维洛妮卡·佛丝 Die Sehnsucht der Veronika Voss,31,770,7.7,2753,7.8,12,tt0084654
1292773,两个英国女孩与欧陆 Les deux anglaises et le continent,31,771,7.6,1777,6.8,8,tt0066989
1296370,爱情万岁 愛情萬歲,31,772,8.0,44523,8.4,77,tt0109066
1299228,沉沦 Ossessione,31,773,7.6,1780,7.7,6,tt0035160
2011855,今古奇观 Hellzapoppin,31,774,8.1,310,6.0,1,tt0033704
1295416,无因的反叛 Rebel Without a Cause,31,775,8.0,17340,8.0,50,tt0048545
1298063,早安 お早よう,32,776,8.6,12420,8.5,37,tt0053134
1297550,远大前程 Great Expectations,32,777,7.8,3871,7.7,6,tt0038574
1303554,审判 Le procès,32,778,8.5,7808,9.1,25,tt0057427
1293305,罗马妈妈 Mamma Roma,32,779,8.2,4422,8.0,24,tt0056215
1299482,情场现形记 Foolish Wives,32,780,7.3,364,6.0,2,tt0013140
1292230,刺杀肯尼迪 JFK,32,781,8.8,43910,8.9,30,tt0102138
1304870,母与子 Мать и сын,32,782,8.1,2844,8.1,14,tt0119711
1295600,摩洛哥 Morocco,32,783,7.3,1128,6.5,4,tt0021156
1303600,近松物语 近松物語,32,784,8.3,6186,8.6,20,tt0046851
1295077,美国狼人在伦敦 An American Werewolf in London,32,785,7.0,3222,7.0,10,tt0082010
1471651,翼 Крылья,32,786,8.0,833,6.8,5,tt0061196
2979522,开罗车站 باب الحديد,32,787,7.5,544,7.0,2,tt0051390
1436690,情歌恋曲 Un chant d'amour,32,788,8.0,1744,8.0,9,tt0043084
1304582,"厨师、大盗、他的太太和她的情人 The Cook, the Thief, His Wife & Her Lover",32,789,7.6,13248,8.0,15,tt0097108
1298412,三十九级台阶 The 39 Steps,32,790,7.8,41178,7.4,34,tt0026029
1292060,米勒的十字路口 Miller's Crossing,32,791,7.8,12536,7.6,28,tt0100150
