douban_film_id,title,page_number,rank_within_list
1401612,龙头之死 Salvatore Giuliano,17,423
1302012,科学怪人的新娘 The Bride of Frankenstein,17,424
1307973,如果 If....,17,425
1483516,幸福 Le bonheur,18,426
1299236,漫长的告别 The Long Goodbye,18,427
1302606,天使与我同桌 An Angel at My Table,18,428
1297203,着魔 Possession,18,429
1925768,二十年后 Cabra Marcado Para Morrer,18,430
6875451,神圣车行 Holy Motors,18,431
1296792,冬日之光 Nattvardsgästerna,18,432
1440106,被遗忘的祖先的阴影 Тіні забутих предків,18,433
1292052,肖申克的救赎 The Shawshank Redemption,18,434
1305690,阿飞正传 阿飛正傳,18,435
1295619,一个明星的诞生 A Star Is Born,18,436
1437013,乞丐 Accattone,18,437
1299799,赌城风云 Casino,18,438
1298465,放荡的女皇 The Scarlet Empress,18,439
1297549,摄影师 The Cameraman,18,440
1297531,电视台风云 Network,18,441
1303451,海上花,18,442
1294377,大地在波动 La terra trema,18,443
1299077,赤裸裸 Naked,18,444
1296659,舞台春秋 Limelight,18,445
1294825,无辜的人 The Innocents,18,446
1307994,风 The Wind,18,447
1401616,兰基先生的罪行 Le Crime de Monsieur Lange,18,448
24872189,托尼·厄德曼 Toni Erdmann,18,449
1293074,法国康康舞 French Cancan,18,450
1421934,关于我们的爱情 À nos amours,19,451
1298202,失衡生活 Koyaanisqatsi,19,452
1294421,伊万的童年 Иваново детство,19,453
1758347,中部地区 La région centrale,19,454
1292908,家宴 Festen,19,455
1295877,二楼传来的歌声 Sånger från andra våningen,19,456
1304310,月球旅行记 Le voyage dans la lune,19,457
11538029,杀戮演绎 The Act of Killing,19,458
1298095,射杀钢琴师 Tirez sur le pianiste,19,459
1300034,德尔苏·乌扎拉 Дерсу Узала,19,460
1293318,萤火虫之墓 火垂るの墓,19,461
1297024,十月 Октябрь,19,462
1299344,巴黎在燃烧 Paris Is Burning,19,463
1432707,倾听不列颠 Listen to Britain,19,464
1302827,人工智能 A.I. Artificial Intelligence,19,465
1767042,潘神的迷宫 El laberinto del fauno,19,466
